YARN-7794
YARN-8086
YARN-7942
YARN-7697
YARN-5848
YARN-7876
MAPREDUCE-7028
HADOOP-15122
YARN-7664
YARN-7465
YARN-7453
YARN-7432
HADOOP-15013
YARN-7211
YARN-7957
YARN-8116
HADOOP-15273
HADOOP-15289
YARN-7879
YARN-7381
YARN-7336
MAPREDUCE-6190
HADOOP-15205
HDFS-13376
HDFS-13087
YARN-7619
MAPREDUCE-7020
HADOOP-15093
YARN-7270
HDFS-12857
MAPREDUCE-7053
YARN-8043
YARN-7956
YARN-7734
YARN-8032
HADOOP-15299
HADOOP-15331
YARN-7636
HDFS-12723
YARN-7947
YARN-7764
YARN-4793
YARN-7949
YARN-7944
YARN-7963
YARN-7909
YARN-7889
YARN-7849
HDFS-12897
YARN-7737
YARN-7363
YARN-7705
YARN-7758
YARN-7689
HDFS-12938
YARN-7635
YARN-7390
YARN-7589
MAPREDUCE-7014
YARN-7410
YARN-7400
YARN-7385
YARN-7340
MAPREDUCE-7095
HADOOP-15352
HADOOP-15163
YARN-7513
YARN-7454
HADOOP-14980
YARN-7985
