lines_added,lines_deleted,file
83,76,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/net/NetUtils.java
17,91,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/net/NetworkTopology.java
7,3,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/AuthenticationFilterInitializer.java
2,1,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/Credentials.java
10,80,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/LdapGroupsMapping.java
91,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/RuleBasedLdapGroupsMapping.java
26,1,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/SecurityUtil.java
6,7,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/UserGroupInformation.java
20,7,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/http/CrossOriginFilter.java
4,1,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/token/delegation/web/DelegationTokenAuthenticationHandler.java
13,5,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/token/delegation/web/DelegationTokenAuthenticator.java
13,2,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/token/delegation/web/DelegationTokenManager.java
1,2,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/BlockingThreadPoolExecutorService.java
1,1,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/CpuTimeTracker.java
59,1,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/DataChecksum.java
2,44,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/DiskChecker.java
0,3,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/GenericOptionsParser.java
112,18,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/HostsFileReader.java
307,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/JsonSerialization.java
2,2,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/ReflectionUtils.java
69,5,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/RunJar.java
15,15,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/Shell.java
31,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/StringUtils.java
24,2,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/ThreadUtil.java
2,1,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/VersionInfo.java
3,14,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/curator/ZKCuratorManager.java
85,0,hadoop-common-project/hadoop-common/src/main/native/src/org/apache/hadoop/io/nativeio/NativeIO.c
0,1,hadoop-common-project/hadoop-common/src/main/resources/META-INF/services/org.apache.hadoop.fs.FileSystem
224,49,hadoop-common-project/hadoop-common/src/main/resources/core-default.xml
278,0,hadoop-common-project/hadoop-common/src/site/markdown/AdminCompatibilityGuide.md
1,1,hadoop-common-project/hadoop-common/src/site/markdown/CLIMiniCluster.md.vm
6,0,hadoop-common-project/hadoop-common/src/site/markdown/CommandsManual.md
21,12,hadoop-common-project/hadoop-common/src/site/markdown/Compatibility.md
2,2,hadoop-common-project/hadoop-common/src/site/markdown/CredentialProviderAPI.md
13,0,hadoop-common-project/hadoop-common/src/site/markdown/FileSystemShell.md
0,3,hadoop-common-project/hadoop-common/src/site/markdown/GroupsMapping.md
1,1,hadoop-common-project/hadoop-common/src/site/markdown/HttpAuthentication.md
18,0,hadoop-common-project/hadoop-common/src/site/markdown/Metrics.md
12,20,hadoop-common-project/hadoop-common/src/site/markdown/SecureMode.md
115,0,hadoop-common-project/hadoop-common/src/site/markdown/filesystem/filesystem.md
0,277,hadoop-common-project/hadoop-common/src/site/markdown/release/2.9.1/CHANGES.2.9.1.md
0,88,hadoop-common-project/hadoop-common/src/site/markdown/release/2.9.1/RELEASENOTES.2.9.1.md
646,0,hadoop-common-project/hadoop-common/src/site/markdown/release/3.0.0-beta1/CHANGES.3.0.0-beta1.md
377,0,hadoop-common-project/hadoop-common/src/site/markdown/release/3.0.0-beta1/RELEASENOTES.3.0.0-beta1.md
0,31,hadoop-common-project/hadoop-common/src/site/markdown/release/3.0.2/CHANGES.3.0.2.md
0,31,hadoop-common-project/hadoop-common/src/site/markdown/release/3.0.2/RELEASENOTES.3.0.2.md
0,309,hadoop-common-project/hadoop-common/src/site/markdown/release/3.0.3/CHANGES.3.0.3.md
0,31,hadoop-common-project/hadoop-common/src/site/markdown/release/3.0.3/RELEASENOTES.3.0.3.md
7,1,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/conf/TestCommonConfigurationFields.java
121,21,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/conf/TestConfiguration.java
176,246,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/conf/TestConfigurationFieldsBase.java
107,126,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/TestFileSystemCaching.java
92,33,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/TestFileUtil.java
1,0,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/TestFilterFileSystem.java
1,0,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/TestHarFileSystem.java
86,1,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/TestRawLocalFileSystemContract.java
4,6,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/TestTrash.java
6,6,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/contract/AbstractContractCreateTest.java
7,8,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/contract/AbstractContractOpenTest.java
246,0,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/contract/AbstractContractPathHandleTest.java
10,0,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/contract/ContractOptions.java
131,5,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/contract/ContractTestUtils.java
31,0,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/permission/TestFsPermission.java
2,1,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/shell/TestCount.java
85,0,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/store/TestEtagChecksum.java
2,2,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/viewfs/ViewFileSystemBaseTest.java
60,1,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/io/TestIOUtils.java
128,16,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/io/nativeio/TestNativeIO.java
22,0,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/io/retry/TestRetryProxy.java
10,0,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/io/retry/UnreliableImplementation.java
5,1,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/io/retry/UnreliableInterface.java
14,4,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/log/TestLogLevel.java
49,0,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/metrics2/impl/TestMetricsSystemImpl.java
